gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8693283010525,,Kuteks Sargı Bezi 10 cm X 10 M,Kuteks,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Pansuman Örtüleri,1004,3,t,kuteks-sargi-bezi-10-cm-x-10-m
8850956073786,,Okey Prezervatif Gerçek Haz 12li,Okey,Kişisel Bakım > Cinsel Sağlık > Prezervatif,1004,3,t,okey-prezervatif-gercek-haz-12li
8699546020461,,Redoxon Vitamin C 1000 mg Efervesan 15 Tablet,Redoxon,Besin Takviyeleri > Vitamin > C Vitamini,972,3,t,redoxon-c-vitamini-1000-mg-15-efervesan-tablet
7640128140931,,New Life 4 Hepa 30 Softgel Kapsül,New Life,Besin Takviyeleri > Takviye Edici Gıdalar > Bitkisel Ürünler,969,3,t,new-life-4-hepa-30-kapsul
8699546020454,,Redoxon 3lü Etkili 30 Efervesan Tablet,Redoxon,Besin Takviyeleri > Mineral > Çinko,954,3,t,redoxon-3lu-etkili-30-efervesan-tablet
8850956073793,,Okey Prezervatif Gerçek Zevk 12li,Okey,Kişisel Bakım > Cinsel Sağlık > Prezervatif,913,3,t,okey-prezervatif-gercek-zevk-12li
8699284270562,,Baybay Night Melisa İçeren Bitkisel Damla 50 ml,Ena Farma,Anne Bebek,907,3,t,baybay-night-melisa-takviye-edici-gida-50ml
8690088010231,,Shiffa Home Omega 3 200 Kapsül,Shiffa Home,Besin Takviyeleri > Takviye Edici Gıdalar > Omega 3 & Balık Yağı,879,3,t,shiffa-home-omega-3-200-kapsul
4103040905505,,Sebamed İntim PH3.8 200 ml,Sebamed,Kişisel Bakım > Kadın Hijyeni > Genital Bölge Temizliği,803,3,t,sebamed-intim-likit-yikama-jeli-ph38-200-ml
8690088024511,,Shiffa Home Omega 3-6-9 1000 mg 200 Kapsül,Shiffa Home,Besin Takviyeleri > Takviye Edici Gıdalar > Omega 3 & Balık Yağı,773,3,t,shiffa-home-omega-3-6-9-1000-mg-200-kapsul
8699546159512,,Priorin Intense Avantajlı Paket 120 + 60 Kapsül,Priorin,Saç Bakım > Saç Bakım Ürünleri & Saç Vitaminleri > Saç Vitamini,758,3,t,priorin-intense-avantajli-paket-120-60-kapsul
8690530009967,,Detan Sinekkıran Kokusuz 275 ml,Detan,Ev & Yaşam,749,3,t,detan-sinekkiran-kokusuz-275-ml
8697595872222,,Ocean Microfer 30 Tablet,Ocean,Besin Takviyeleri > Mineral > Demir,729,3,t,ocean-microfer-30-tablet-takviye-edici-gida
8699546090396,,Supradyn Koenzim Q10 30 Film Kaplı Tablet,Supradyn,Besin Takviyeleri > Mineral > Bakır,723,2,t,supradyn-koenzim-q10-multivitamin-30-tablet
8697595872710,,Ocean Krom Pikolinat 200 mcg 90 Kapsül,Ocean,Besin Takviyeleri > Mineral > Krom,720,3,t,ocean-krom-pikolinat-90-kapsul
