gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8699550820019,,Şanlı Kapsikumlu Delikli Yakı,Şanlı,Sağlık Ve Medikal > Eklem Sağlığı,1147,2,t,sanli-kapsikumlu-delikli-yaki
8680400771219,,Haver Propolsave Propolis Nar Kubuğu Ekstresi Sprey 20 ml - 2AL1ÖDE,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Polen ve Propolis,627,1,t,haver-propolsave-propolis-nar-kubugu-ekstresi-sprey-20-ml-2al1ode
8680400771216,,Haver Propolsave Propolis Nar Kubuğu Ekstresi Sprey 20 ml,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Polen ve Propolis,625,1,t,haver-propolsave-propolis-nar-kubugu-ekstresi-sprey-20-ml
8692860201059,,Nutrigen Balık Yağı Kofre 2 x 200 ml,,Besin Takviyeleri > Omega Yağ Asitleri > Bebek & Çoçuklar İçin Omega Yağ Asitleri,596,1,t,nutrigen-balik-yagi-kofre-2-x-200-ml
8699177825008,,Gifrer Serum Fizyolojik 10 x 5 ml,Gifrer,Sağlık Ve Medikal > Burun Açıcı Ürünler,582,2,t,gifrer-serum-fizyolojik-10-x-5-ml
8699177825107,,Gifrer Serum Fizyolojik 20 x 5 ml,Gifrer,Sağlık Ve Medikal > Burun Açıcı Ürünler,567,2,t,gifrer-serum-fizyolojik-20-x-5-ml
8699177824490,,Nurse Harveys Organik Buzzy Sinek Kovucu Sprey 175 ml,,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,558,2,t,nurse-harveys-organik-buzzy-sinek-kovucu-sprey-175-ml
850077028564,,Ocean Mummy 30 Kapsül,Ocean,Besin Takviyeleri > Kadın Besin Takviyeleri,502,2,t,ocean-mummy-30-kapsul
8683020024984,,B-Good Steril Spanç 30x80 cm,B-Good,Sağlık Ve Medikal > Yara Ve Yanık Ürünleri,500,2,t,b-good-steril-spanc-30x80-cm
6970392216065,,Nimo Kol Tipi Otomatik Dijital Tansiyon Aleti - DBP-1318 -,Nimo,Sağlık Ve Medikal > Medikal > Tansiyon Aletleri,500,2,t,nimo-kol-tipi-otomatik-dijital-tansiyon-aleti-dbp-1318
8699546002054,,K-Othrine AL Böcek İlacı 500 ml,,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,500,2,t,k-othrine-al-bocek-ilaci-500-ml
8698973761640,,Nimo Buhar Miktarı Ayarlanabilir Nebulizatör Maske Seti Pediatrik,,Sağlık Ve Medikal > Medikal > Nebulizatör,500,2,t,nimo-buhar-miktari-ayarlanabilir-nebulizator-maske-seti-pediatrik
8681807005157,,Osiwax  Kulak Damlası  30 ml,,Sağlık Ve Medikal > Medikal > Ortopedik Ürün Ve Gereçleri > Ortopedik Korseler,500,2,t,osiwax-kulak-damlasi-30-ml
8690998215487,,Balparmak Apitera Plus Propolisli Çocuk Spreyi 20 ml - 2 Al 1 Öde,Balparmak,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Polen ve Propolis,489,1,t,balparmak-apitera-plus-propolisli-cocuk-spreyi-20-ml-2-al-1-ode
8699177824476,,Nurse Harveys Organics Buzzyderm Serinletici Vücut Jeli 20ml,Nurse harveys,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,476,2,t,nurse-harveys-organics-buzzyderm-serinletici-vucut-jeli-20ml
8683060010251,,Pharmaton Vitality Multivitamin 2x30 Tablet - 2.si %70 İndirimli,Pharmaton,Besin Takviyeleri > MultiVitaminler,436,2,t,pharmaton-vitality-multivitamin-2x30-tablet-2si-70-indirimli
8698751000482,,Vitmix Focus 150 ml - 2AL1ÖDE,Koç İlaç,Besin Takviyeleri > Hafıza Sağlığı,395,1,t,vitmix-focus-150-ml-2al1ode
8698751000480,,Vitmix Focus 150 ml,Koç İlaç,Besin Takviyeleri > Hafıza Sağlığı,393,1,t,vitmix-focus-150-ml
8690998214521,,Balparmak Apitera Up Plus 7 x 7 GR,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,376,1,t,balparmak-apitera-up-plus-7-x-7-gr
8690530002142,,Okey Jel Nirvana 100ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Performans Arttırıcılar,368,2,t,okey-jel-nirvana-100ml
8690140930335,,Avicenna OmeCap 200 Yumuşak Kapsül,Avicenna,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,359,1,t,avicenna-omecap-200-yumusak-kapsul
8697595872239,,Ocean Microfer Damla 30 ml Takviye Edici Gıda,,Besin Takviyeleri > Minareller > Demir Mineralleri,327,3,t,ocean-microfer-damla-30-ml-takviye-edici-gida
8690998214606,,Balparmak Apitera Zen Plus 7x7 gr,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,315,2,t,balparmak-apitera-zen-plus-7x7-gr
